City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
vawkavysk,BY,53.1561,24.4513,76.69,70,85,8.23,1627395480
sao joao da barra,BR,-21.6403,-41.0511,80.69,54,0,10.25,1627395481
cabo san lucas,MX,22.8909,-109.9124,85.8,69,9,10.45,1627395483
mon,IN,26.75,95.1,74.19,96,91,3.31,1627395484
mangan,IN,27.5167,88.5333,79.23,91,100,1.21,1627395484
oktyabrskiy,RU,54.4815,53.471,73.54,45,81,14.54,1627395484
coihueco,CL,-36.6167,-71.8333,39.94,81,0,11.5,1627395485
maple creek,CA,49.9168,-109.4848,77.41,36,56,5.75,1627395487
zafra,ES,38.4167,-6.4167,93.33,19,0,7.96,1627395488
ryotsu,JP,38.0833,138.4333,75.04,90,24,1.7,1627395489
luba,GQ,3.4568,8.5547,78.85,75,55,8.01,1627395229
gasa,PS,31.5,34.4667,89.91,54,0,13.4,1627395489
wawa,NG,9.9022,4.4192,72.52,92,100,7.0,1627395491
taoudenni,ML,22.6783,-3.9836,114.85,4,6,2.66,1627395333
semey,KZ,50.4111,80.2275,71.82,35,0,11.18,1627395492
hailar,CN,49.2,119.7,60.64,94,8,3.91,1627395325
san cristobal,VE,7.7669,-72.225,71.78,99,100,2.93,1627395493
elizabeth city,US,36.2946,-76.2511,82.45,87,1,8.05,1627395494
cuiluan,CN,47.72,128.648,72.14,91,2,3.89,1627395495
ulaanbaatar,MN,47.9077,106.8832,60.93,63,0,2.24,1627395478
cayenne,GF,4.9333,-52.3333,87.84,78,75,3.0,1627395495
mount gambier,AU,-37.8333,140.7667,57.11,77,75,19.57,1627395497
sioux lookout,CA,50.1001,-91.917,66.27,72,1,0.0,1627395497
sao miguel do tapuio,BR,-5.5036,-41.3233,92.7,30,4,7.81,1627395498
katyuzhanka,UA,50.806,30.1376,88.02,44,100,7.07,1627395500
praia,CV,14.9215,-23.5087,82.94,65,40,11.5,1627395501
takoradi,GH,4.8845,-1.7554,80.78,64,100,10.69,1627395449
nouadhibou,MR,20.931,-17.0347,75.18,73,0,20.71,1627395502
houma,US,29.5958,-90.7195,87.8,85,1,5.75,1627395504
rio cuarto,AR,-33.1307,-64.3499,45.84,25,0,20.6,1627395505
bourail,NC,-21.5667,165.4833,62.47,77,0,3.44,1627395506
fukue,JP,32.6881,128.8419,79.05,85,0,9.89,1627395468
vostok,RU,46.4856,135.8833,73.8,77,99,3.53,1627395507
ahipara,NZ,-35.1667,173.1667,54.81,74,3,11.81,1627395507
sambava,MG,-14.2667,50.1667,73.71,70,13,15.57,1627395508
kars,TR,40.602,43.095,77.45,44,75,16.11,1627395509
acheng,CN,45.5454,126.977,80.53,84,1,2.3,1627395511
valparaiso,CL,-33.0393,-71.6273,55.63,70,0,8.05,1627395511
kokoda,PG,-8.8785,147.7407,74.7,96,94,0.27,1627395512
bonavista,CA,48.6499,-53.1147,62.6,97,94,16.53,1627395512
honiara,SB,-9.4333,159.95,78.04,89,100,7.02,1627395514
ziro,IN,27.6333,93.8333,68.74,97,89,1.99,1627395514
bulgan,MN,48.8125,103.5347,60.75,68,72,1.32,1627395515
corralillo,CU,22.9819,-80.5856,82.83,72,17,3.74,1627395515
lorengau,PG,-2.0226,147.2712,82.51,75,29,8.19,1627395516
bongandanga,CD,1.5,21.05,94.3,24,64,4.32,1627395516
rudnyy,KZ,52.9594,63.1206,75.43,44,42,7.38,1627395517
jamame,SO,0.0722,42.7506,78.73,68,83,19.26,1627395519
zhanaozen,KZ,43.3,52.8,92.71,18,0,26.53,1627395521
oistins,BB,13.0667,-59.5333,86.09,70,40,13.8,1627395522
bengkulu,ID,-3.8004,102.2655,77.72,80,1,6.89,1627395523
waitati,NZ,-45.75,170.5667,47.8,62,23,4.65,1627395524
cururupu,BR,-1.8283,-44.8683,86.86,54,24,5.66,1627395346
tocopilla,CL,-22.092,-70.1979,63.86,60,4,8.32,1627395524
zhangye,CN,38.9342,100.4517,80.71,21,100,10.16,1627395526
shelburne,CA,44.0787,-80.2041,64.8,97,100,7.85,1627395526
porto tolle,IT,44.9497,12.3245,86.09,54,50,11.39,1627395527
warmbad,NA,-28.45,18.7333,76.78,17,0,19.13,1627395528
wajir,KE,1.7471,40.0573,84.25,40,100,20.04,1627395530
moshenskoye,RU,58.5102,34.5911,82.4,33,43,1.74,1627395531
vanimo,PG,-2.6741,141.3028,78.82,90,72,6.58,1627395532
palmer,US,42.1584,-72.3287,83.32,55,20,3.44,1627395394
itoman,JP,26.1247,127.6694,82.42,89,40,10.36,1627395533
almeria,ES,37.1667,-2.3333,90.3,35,0,10.16,1627395534
tual,ID,-5.6667,132.75,81.41,80,98,19.06,1627395535
byron bay,AU,-28.65,153.6167,60.75,80,0,10.51,1627395535
teguldet,RU,57.3064,88.1667,54.72,89,27,3.98,1627395536
inhambane,MZ,-23.865,35.3833,70.86,52,2,9.22,1627395538
alyangula,AU,-13.8483,136.4192,72.66,91,93,7.05,1627395539
lahaina,US,20.8783,-156.6825,77.81,89,65,10.22,1627395540
mayor pablo lagerenza,PY,-19.9309,-60.7718,64.4,39,95,14.16,1627395541
papetoai,PF,-17.4961,-149.8729,72.99,74,34,9.6,1627395543
san francisco,US,37.7749,-122.4194,66.87,91,75,1.01,1627395396
kollam,IN,8.8833,76.6,80.47,87,92,10.11,1627395545
jieshi,CN,22.8134,115.8257,86.95,80,88,13.82,1627395546
airai,TL,-8.9266,125.4092,56.8,84,29,2.95,1627395546
paamiut,GL,61.994,-49.6678,45.41,88,100,12.1,1627395546
grand island,US,40.925,-98.342,78.75,78,1,3.0,1627395547
santa cruz,BO,-17.8,-63.1667,69.26,39,75,33.38,1627395548
makokou,GA,0.5738,12.8642,85.21,49,98,2.35,1627395550
mayumba,GA,-3.432,10.6554,77.31,75,85,9.6,1627395551
banes,CU,20.9625,-75.7186,83.01,74,94,9.33,1627395553
marystown,CA,47.1666,-55.1483,65.86,100,100,10.69,1627395554
duldurga,RU,50.6761,113.5931,58.41,90,39,3.29,1627395555
kadyy,RU,57.787,43.1903,74.28,41,19,8.79,1627395555
dickinson,US,29.4608,-95.0513,85.19,80,75,8.05,1627395557
coihaique,CL,-45.5752,-72.0662,39.15,75,75,2.3,1627395557
notre-dame-du-lac,CA,47.6136,-68.7964,64.26,55,90,11.48,1627395560
port hawkesbury,CA,45.6169,-61.3485,75.58,89,90,1.99,1627395561
jiaozuo,CN,35.2397,113.2331,76.95,94,12,4.68,1627395562
at-bashi,KG,41.1702,75.8106,74.19,48,87,5.44,1627395562
consolacion del sur,CU,22.5047,-83.5136,82.94,71,22,4.41,1627395562
presidencia roque saenz pena,AR,-26.7852,-60.4388,57.27,22,3,13.44,1627395563
buraydah,SA,26.326,43.975,115.25,8,9,19.33,1627395565
dabola,GN,10.75,-11.1167,85.14,65,98,2.46,1627395333
birjand,IR,32.8663,59.2211,90.07,12,0,23.02,1627395566
huarmey,PE,-10.0681,-78.1522,67.15,80,38,6.53,1627395464
manggar,ID,-2.8833,108.2667,81.73,69,93,11.43,1627395568
thompson,CA,55.7435,-97.8558,64.56,63,40,5.75,1627395568
rudbar,AF,30.15,62.6,109.29,10,96,14.5,1627395569
xuddur,SO,4.1213,43.8894,79.72,53,100,21.21,1627395570
fiche,ET,9.8,38.7333,60.73,68,94,4.32,1627395572
nanakuli,US,21.3906,-158.1547,76.98,65,1,4.61,1627395573
haines junction,CA,60.7522,-137.5108,48.15,93,98,2.3,1627395575
kaitangata,NZ,-46.2817,169.8464,42.93,70,90,5.93,1627395576
millinocket,US,45.6573,-68.7098,75.9,64,1,5.75,1627395577
krasnoyarka,RU,55.3333,73.1167,66.15,48,96,4.29,1627395578
kilmallock,IE,52.4,-8.5772,66.88,70,99,7.0,1627395579
shetpe,KZ,44.1667,52.1167,84.88,23,53,22.08,1627395581
bathsheba,BB,13.2167,-59.5167,86.61,70,40,13.8,1627395582
acari,PE,-15.4311,-74.6158,67.48,66,56,5.01,1627395583
lompoc,US,34.6391,-120.4579,62.56,92,90,0.0,1627395584
la ronge,CA,55.1001,-105.2842,64.65,68,90,3.44,1627395585
morondava,MG,-20.2833,44.2833,75.27,58,6,17.6,1627395586
samarai,PG,-10.6167,150.6667,78.3,86,94,11.45,1627395588
krasnaya gorka,RU,55.1962,56.6673,63.03,84,72,5.55,1627395588
boundiali,CI,9.5217,-6.4869,81.75,69,100,6.2,1627395589
alice springs,AU,-23.7,133.8833,74.75,27,75,9.22,1627395307
shumskiy,RU,54.8318,99.1328,65.7,88,100,5.77,1627395591
tyup,KG,42.7276,78.3648,72.37,51,61,6.49,1627395593
kalabo,ZM,-14.97,22.6814,77.86,16,5,8.5,1627395593
mullingar,IE,53.5333,-7.35,62.76,95,100,10.0,1627395595
kargasok,RU,59.0556,80.8572,59.81,61,100,6.51,1627395596
copiapo,CL,-27.3667,-70.3333,47.89,36,0,2.91,1627395597
kearney,US,40.6995,-99.0815,75.99,88,1,6.91,1627395599
brigantine,US,39.4101,-74.3646,88.27,54,1,0.0,1627395600
maryville,US,35.7565,-83.9705,82.29,87,90,1.99,1627395601
penzance,GB,50.1186,-5.5371,67.77,88,40,16.11,1627395602
batalha,BR,-9.6778,-37.1247,81.52,62,58,9.26,1627395603
yarmouth,US,41.7057,-70.2286,85.64,61,1,3.0,1627395604
ponta do sol,PT,32.6667,-17.1,80.71,67,0,1.66,1627395606
kruisfontein,ZA,-34.0033,24.7314,74.93,30,1,10.22,1627395607
phangnga,TH,8.4509,98.5298,86.92,94,11,4.12,1627395608
ascension,US,30.2169,-90.9001,87.8,85,1,0.0,1627395609
north myrtle beach,US,33.816,-78.68,86.34,88,1,1.01,1627395610
wencheng,CN,33.0559,113.7978,75.79,97,99,6.89,1627395611
bojnurd,IR,37.4747,57.329,88.52,18,0,18.01,1627395476
half moon bay,US,37.4636,-122.4286,67.62,88,1,0.0,1627395612
kralendijk,BQ,12.15,-68.2667,84.18,79,75,16.11,1627395613
camacari,BR,-12.6975,-38.3242,74.97,81,21,4.05,1627395614
riberalta,BO,-10.9833,-66.1,84.4,74,28,6.91,1627395615
port hardy,CA,50.6996,-127.4199,53.6,100,40,2.3,1627395617
ati,TD,13.2154,18.3353,88.99,47,100,6.15,1627395618
artigas,UY,-30.4,-56.4667,46.58,43,0,17.47,1627395619
nikolskoye,RU,59.7035,30.7861,86.02,29,54,6.71,1627395621
diu,IN,20.7141,70.9822,81.7,84,100,22.37,1627395622
kushima,JP,31.4583,131.2333,75.49,89,0,3.04,1627395542
shimoda,JP,34.6667,138.95,75.11,81,100,2.28,1627395623
wanning,CN,18.8003,110.3967,84.25,78,100,4.47,1627395481
superior,US,46.7208,-92.1041,71.49,91,90,8.05,1627395623
hukuntsi,BW,-24.0,21.75,66.76,20,0,9.69,1627395624
nantucket,US,41.2835,-70.0995,81.25,74,0,8.72,1627395626
vestmannaeyjar,IS,63.4427,-20.2734,54.59,82,90,5.75,1627395626
biltine,TD,14.5333,20.9167,89.35,39,90,9.98,1627395628
digha,IN,21.6833,87.55,84.34,76,100,18.66,1627395629
adrar,MR,20.5022,-10.0711,106.18,9,100,2.26,1627395629
pailitas,CO,8.9565,-73.6255,77.5,90,100,0.65,1627395630
saint-louis,SN,16.3333,-15.0,98.76,25,31,16.4,1627395631
correntina,BR,-13.3433,-44.6367,83.82,32,11,5.28,1627395632
alugan,PH,12.2188,125.4808,82.08,77,100,7.72,1627395634
cabedelo,BR,-6.9811,-34.8339,83.07,75,41,15.03,1627395478
dawlatabad,AF,36.4141,64.9053,101.37,13,0,15.84,1627395634
kailua,US,21.4022,-157.7394,77.02,75,40,6.91,1627395634
riyadh,SA,24.6877,46.7219,114.94,7,3,16.11,1627395636
tema,GH,5.667,-0.0166,81.01,69,40,17.27,1627395532
sydney,AU,-33.8679,151.2073,60.71,69,0,3.0,1627395491
quchan,IR,37.106,58.5095,81.91,19,0,23.96,1627395637
uberaba,BR,-19.7483,-47.9319,77.58,23,0,12.66,1627395639
port lincoln,AU,-34.7333,135.8667,57.38,74,59,28.83,1627395640
santana do livramento,BR,-30.8908,-55.5328,45.61,43,0,15.75,1627395641
chunoyar,RU,57.4467,97.3217,67.73,94,100,4.63,1627395643
san roque,ES,36.2107,-5.3842,79.61,83,20,11.5,1627395372
mikhaylovskoye,RU,51.8239,79.7172,67.91,39,15,7.47,1627395644
porto velho,BR,-8.7619,-63.9039,87.85,51,0,3.44,1627395644
umm lajj,SA,25.0213,37.2685,89.78,63,100,18.21,1627395646
mercedes,AR,-34.6515,-59.4307,47.52,41,4,16.35,1627395647
partizanskoye,RU,55.5006,94.39,63.25,92,100,4.85,1627395649
pombas,CV,17.1503,-25.0201,80.38,77,11,12.39,1627395650
malakal,SS,9.5334,31.6605,75.43,82,99,3.18,1627395404
mount isa,AU,-20.7333,139.5,51.57,54,0,0.0,1627395652
port moresby,PG,-9.4431,147.1797,76.42,94,40,11.5,1627395652
derzhavinsk,KZ,51.1,66.3167,71.01,31,10,12.3,1627395653
ciawi,ID,-7.5117,107.9767,64.2,94,34,2.8,1627395653
benjamin constant,BR,-4.3831,-70.0311,78.93,83,40,5.75,1627395653
nanhai,CN,30.1282,111.7784,80.06,86,0,5.44,1627395654
myskhako,RU,44.6714,37.7433,82.18,62,100,21.54,1627395654
richards bay,ZA,-28.783,32.0377,75.16,33,5,16.51,1627395656
kudahuvadhoo,MV,2.6708,72.8944,81.79,76,100,9.6,1627395657
ardesen,TR,41.1911,40.9875,71.56,77,56,8.12,1627395658
sertanopolis,BR,-23.0586,-51.0364,80.67,32,62,6.58,1627395659
zhuji,CN,29.7188,120.2423,78.71,96,100,4.12,1627395661
banda aceh,ID,5.5577,95.3222,81.3,80,81,13.29,1627395645
arauco,CL,-37.2463,-73.3175,42.82,58,0,5.28,1627395661
saint-pierre,RE,-21.3393,55.4781,71.24,76,90,8.05,1627395663
ayr,GB,55.4627,-4.6339,69.98,77,75,8.05,1627395665
plettenberg bay,ZA,-34.0527,23.3716,69.49,51,0,6.46,1627395666
broome,US,42.2506,-75.833,79.48,74,1,3.0,1627395667
san jeronimo,PE,-11.9472,-75.2829,52.48,57,9,1.57,1627395668
nabire,ID,-3.3667,135.4833,76.8,91,100,3.74,1627395654
tsaratanana,MG,-16.7833,47.65,76.98,43,15,8.75,1627395670
nouakchott,MR,18.0858,-15.9785,80.53,75,43,12.88,1627395671
sturgeon bay,US,44.8342,-87.377,73.09,83,1,12.66,1627395673
poum,NC,-20.2333,164.0167,70.93,64,51,11.68,1627395674
saint-paul,RE,-21.0096,55.2707,71.69,74,27,2.75,1627395674
kasane,BW,-17.8167,25.15,73.53,23,0,8.23,1627395676
nagato,JP,34.3833,131.2,80.51,90,100,7.94,1627395677
sechura,PE,-5.5569,-80.8222,69.85,74,74,11.63,1627395677
ovalle,CL,-30.5983,-71.2003,61.56,19,0,0.29,1627395679
kidal,ML,18.4411,1.4078,102.65,22,66,10.54,1627395384
rawlins,US,41.7911,-107.2387,73.29,39,1,4.61,1627395681
jadu,LY,31.953,12.0261,94.12,13,0,7.05,1627395682
kambove,CD,-10.8764,26.5969,71.94,24,88,7.87,1627395683
skegness,GB,53.1436,0.3363,74.17,74,100,12.1,1627395493
porto novo,BJ,6.4965,2.6036,82.22,52,98,13.29,1627395685
shemonaikha,KZ,50.6328,81.9056,64.18,52,0,7.58,1627395686
coahuayana,MX,18.7333,-103.6833,80.08,90,100,1.14,1627395686
kota kinabalu,MY,5.9749,116.0724,82.38,83,20,4.61,1627395478
malanje,AO,-9.5402,16.341,82.78,47,75,11.5,1627395687
guerrero negro,MX,27.9769,-114.0611,68.79,81,0,7.94,1627395689
fallon,US,39.4735,-118.7774,74.44,55,1,9.22,1627395690
linxia,CN,35.6003,103.2064,59.29,81,100,3.04,1627395691
san eduardo,PH,12.1679,125.4503,82.44,76,100,7.78,1627395489
colon,PA,9.3592,-79.9014,84.02,84,49,3.36,1627395691
bambanglipuro,ID,-7.95,110.2833,74.64,84,47,5.73,1627395692
cutro,IT,39.0353,16.9819,92.43,46,0,6.91,1627395692
pitimbu,BR,-7.4706,-34.8086,82.99,73,11,13.04,1627395694
ndago,TZ,-4.6,34.35,80.76,24,46,6.24,1627395695
termiz,UZ,37.2242,67.2783,98.69,16,0,9.22,1627395696
poltavka,RU,54.3663,71.7632,63.3,52,48,8.9,1627395697
kismayo,SO,-0.3582,42.5454,77.61,74,43,22.12,1627395698
praia da vitoria,PT,38.7333,-27.0667,73.65,83,75,11.7,1627395699
togur,RU,58.3631,82.8265,58.28,65,92,3.09,1627395701
conceicao do araguaia,BR,-8.2578,-49.2647,93.24,21,6,5.06,1627395702
pushkino,RU,56.0172,37.8667,84.29,33,42,3.0,1627395465
kasama,ZM,-10.2129,31.1808,72.86,25,8,8.39,1627395463
northam,GB,51.0333,-4.2167,71.02,85,28,11.23,1627395704
seryshevo,RU,51.0933,128.3786,69.13,96,100,5.23,1627395705
tautira,PF,-17.7333,-149.15,73.42,77,13,10.8,1627395706
adamovka,RU,51.5223,59.9396,73.24,29,30,9.44,1627395707
asau,RO,46.4333,26.4,81.39,60,93,1.68,1627395708
heishan,CN,41.6892,122.1128,76.84,86,90,2.44,1627395710
gazojak,TM,41.1875,61.4036,98.51,11,0,19.51,1627395710
panlaitan,PH,12.1191,119.8486,83.07,83,100,20.36,1627395712
pierre,US,44.3683,-100.351,81.99,65,1,6.91,1627395712
bilma,NE,18.6853,12.9164,101.88,24,17,3.62,1627395713
acapulco,MX,16.8634,-99.8901,80.42,83,75,2.3,1627395715
dawei,MM,14.0833,98.2,77.61,92,100,6.76,1627395514
suicheng,CN,33.8963,117.9331,76.26,96,100,20.98,1627395585
pontianak,ID,-0.0333,109.3333,80.58,89,75,3.44,1627395632
beawar,IN,26.1,74.3167,79.79,77,100,14.34,1627395716
shahreza,IR,32.0339,51.8794,89.65,13,5,18.59,1627395716
mae sai,TH,20.4335,99.8762,78.44,99,90,1.74,1627395717
general roca,AR,-39.0333,-67.5833,45.0,34,48,8.19,1627395718
denpasar,ID,-8.65,115.2167,78.46,89,20,6.91,1627395660
zaysan,KZ,47.4667,84.8667,72.55,47,5,12.06,1627395719
mandera,KE,3.9366,41.867,85.28,43,100,21.56,1627395720
mogadishu,SO,2.0371,45.3438,78.67,65,90,17.27,1627395721
saint-augustin,CA,51.226,-58.6502,61.95,94,100,5.59,1627395723
isangel,VU,-19.55,169.2667,70.14,67,23,10.87,1627395724
quatre cocos,MU,-20.2078,57.7625,69.1,86,89,14.72,1627395724
grindavik,IS,63.8424,-22.4338,58.95,76,0,17.27,1627395726
komatsu,JP,36.4026,136.4509,75.18,88,40,4.61,1627395727
ayagoz,KZ,47.9714,80.4392,69.71,33,0,11.81,1627395727
kilindoni,TZ,-7.9139,39.6668,76.15,65,14,17.13,1627395727
alvaraes,BR,-3.2208,-64.8042,82.27,53,59,1.59,1627395729
thinadhoo,MV,0.5333,72.9333,82.38,71,29,5.17,1627395730
aketi,CD,2.7388,23.7833,80.78,60,100,2.8,1627395731
ballina,AU,-28.8667,153.5667,50.77,75,0,9.53,1627395732
sikasso,ML,10.9167,-7.0,86.83,55,100,5.23,1627395733
